Model,Prevalence,Brier Score,Expected Calibration Error,Default Threshold F1,Tuned Threshold F1,Threshold Selected
HistGradientBoosting,50%,0.014406465114083757,0.4814016932710194,0.9815864022662889,0.9815864022662889,0.44999999999999996
HistGradientBoosting,20%,0.020092106737301295,0.7741800200923523,0.9351351351351351,0.9351351351351351,0.44999999999999996
HistGradientBoosting,10%,0.02217475349910759,0.8718481624135784,0.8651685393258427,0.8651685393258427,0.44999999999999996
HistGradientBoosting,5%,0.02341810316891779,0.9208021331250987,0.75,0.75,0.44999999999999996
GAT,50%,0.10605605397399848,0.4017791217796021,0.8766773162939298,0.9107981220657277,0.7
GAT,20%,0.15914796276689983,0.6698824848232936,0.6451612903225806,0.7336244541484717,0.7
GAT,10%,0.1754320852356249,0.7675156497548531,0.45103857566765576,0.562962962962963,0.7
GAT,5%,0.18350470729136525,0.815884268107517,0.28125,0.38095238095238093,0.7
Hybrid HGB+GNN,50%,0.0138020805788548,0.47899558383244584,0.9829545454545454,0.9815078236130867,0.5499999999999999
Hybrid HGB+GNN,20%,0.01893007407659167,0.7703615763584458,0.9427792915531336,0.9398907103825137,0.5499999999999999
Hybrid HGB+GNN,10%,0.020824690951061143,0.8676770676880534,0.88,0.88,0.5499999999999999
Hybrid HGB+GNN,5%,0.02199179423189067,0.9164548453062813,0.7741935483870968,0.7741935483870968,0.5499999999999999
