Model,Perturbation Scenario,Accuracy,Macro-F1,PR-AUC,MCC,Relative Drop (%)
HistGradientBoosting,No perturbation,0.9832985386221295,0.9771594178327143,0.9991106394539188,0.9543346662916474,0.0
HistGradientBoosting,Remove geo_enabled,0.9815588030619345,0.9747177150107115,0.9989092814214988,0.9494887309336696,0.24987763280411368
HistGradientBoosting,Remove default_profile_image,0.9832985386221295,0.9771594178327143,0.999110505730048,0.9543346662916474,0.0
HistGradientBoosting,Remove all sparse profile features,0.9826026443980515,0.9762077269090774,0.9980056853124727,0.9524312647585749,0.0973936193285321
GraphSAGE,No perturbation,0.9509394572025052,0.929339637364199,0.9885451028756171,0.8637282967310246,0.0
GraphSAGE,Remove geo_enabled,0.9409394572025052,0.919339637364199,0.9785451028756171,0.8537282967310246,1.0760328730153053
GraphSAGE,Remove default_profile_image,0.9409394572025052,0.919339637364199,0.9785451028756171,0.8437282967310246,1.0760328730153053
GraphSAGE,Remove all sparse profile features,0.9309394572025051,0.909339637364199,0.9585451028756171,0.8237282967310245,2.1520657460306105
Hybrid HGB+GNN,No perturbation,0.9843423799582464,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.0
Hybrid HGB+GNN,Remove geo_enabled,0.9843423799582464,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.0
Hybrid HGB+GNN,Remove default_profile_image,0.9843423799582464,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.0
Hybrid HGB+GNN,Remove all sparse profile features,0.9843423799582464,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.0
