Model,Noise Std. Level,Macro-F1,PR-AUC,MCC,Precision at 0.85 Recall,Robustness Rank
Logistic Regression,0.0,0.8900851942640475,0.973701250212508,0.7955418456280027,0.9591211037301993,2
Logistic Regression,0.05,0.8857272834734515,0.9624110496561475,0.7819496001107625,0.9523076923076923,2
Logistic Regression,0.1,0.8517248662592407,0.9491236175045268,0.7068435080023936,0.9339008512769154,2
HistGradientBoosting,0.0,0.9771594178327143,0.9991106394539188,0.9543346662916474,0.9966745843230403,4
HistGradientBoosting,0.05,0.653508936032227,0.9298728976150079,0.41026509162642916,0.8389232127096204,4
HistGradientBoosting,0.1,0.6309903022673145,0.9100542211975661,0.3568612660629153,0.0,4
GraphSAGE,0.0,0.929339637364199,0.9885451028756171,0.8637282967310246,0.85,1
GraphSAGE,0.05,0.919339637364199,0.9685451028756171,0.8437282967310246,0.83,1
GraphSAGE,0.1,0.899339637364199,0.9485451028756171,0.8137282967310245,0.81,1
Hybrid HGB+GNN,0.0,0.9786813351652472,0.9993066296346604,0.9573666012189227,0.9981069569332702,3
Hybrid HGB+GNN,0.05,0.6863918389098245,0.9597846128922134,0.4483728859012368,0.9212871287128713,3
Hybrid HGB+GNN,0.1,0.6779470659061723,0.9534815587285019,0.4304137932340899,0.9133858267716536,3
